var name,label,var type,dataset
V0351,"V0351 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0352,"V0352 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0353,"V0353 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0354,"V0354 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0355,"V0355 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0356,"V0356 - CJB6_OFF_1: Collapsed offense type (offense(s) from CJB6) # 1 - Probation violators, new offenses (CAPI variable)CJB6. For what new offenses were you sentenced? Any others? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS
NOT FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0357,"V0357 - CJB6_OFF_2: Collapsed offense type (offense(s) from CJB6) # 2 - Probation violators, new offenses (CAPI variable)CJB6. For what new offenses were you sentenced? Any others? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS
NOT FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0358,"V0358 - CJB6_OFF_3: Collapsed offense type (offense(s) from CJB6) # 3 - Probation violators, new offenses (CAPI variable)CJB6. For what new offenses were you sentenced? Any others? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS
NOT FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0359,"V0359 - CJB6_OFF_4: Collapsed offense type (offense(s) from CJB6) # 4 - Probation violators, new offenses (CAPI variable)CJB6. For what new offenses were you sentenced? Any others? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS
NOT FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0360,"V0360 - CJB6_OFF_5: Collapsed offense type (offense(s) from CJB6) # 5 - Probation violators, new offenses (CAPI variable)CJB6. For what new offenses were you sentenced? Any others? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS
NOT FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0361,"V0361 - CJB7a: Month arrested or charged with CJB6 offense - Probation violators, new offenses (suppressed)CJB7a. In what month and year were you arrested or charged with [CJB6_THIS_OFFENSE_FILL]?  2-DIGIT MONTH:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0362,"V0362 - CJB7b: Year arrested or charged with CJB6 offense - Probation violators, new offensesCJB7b. In what month and year were you arrested or charged with [CJB6_THIS_OFFENSE_FILL]?  4-DIGIT YEAR:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0363,"V0363 - CJB8: Arrested/charged with new offenses after admitted to prison?CJB8. When you were admitted to prison after being on probation, were you arrested or charged with any new offenses? Include
any sentence for the probation violation.Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0364,"V0364 - CJB9TYPE: New offense(s) inmate was arrested/charged - type(s)CJB9TYPE. For what new offenses were you arrested or charged?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0365,"V0365 - CJB9_1: Name of offense(s) - provided by inmate # 1 - Probation violators, new offenses, unsentenced (suppressed)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0366,"V0366 - CJB9_2: Name of offense(s) - provided by inmate # 2 - Probation violators, new offenses, unsentenced (suppressed)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0367,"V0367 - CJB9_3: Name of offense(s) - provided by inmate # 3 - Probation violators, new offenses, unsentenced (suppressed)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0368,"V0368 - CJB9_4: Name of offense(s) - provided by inmate # 4 - Probation violators, new offenses, unsentenced (suppressed)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0369,"V0369 - CJB9_5: Name of offense(s) - provided by inmate # 5 - Probation violators, new offenses, unsentenced (suppressed)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0370,"V0370 - CJB9_NCRP3_1: 3-digit NCRP Code (offense(s) from CJB9) # 1 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0371,"V0371 - CJB9_NCRP3_2: 3-digit NCRP Code (offense(s) from CJB9) # 2 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0372,"V0372 - CJB9_NCRP3_3: 3-digit NCRP Code (offense(s) from CJB9) # 3 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0373,"V0373 - CJB9_NCRP3_4: 3-digit NCRP Code (offense(s) from CJB9) # 4 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0374,"V0374 - CJB9_NCRP3_5: 3-digit NCRP Code (offense(s) from CJB9) # 5 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0375,"V0375 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0376,"V0376 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0377,"V0377 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0378,"V0378 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0379,"V0379 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0380,"V0380 - CJB9_OFF_1: Collapsed offense type (offense(s) from CJB9) # 1 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0381,"V0381 - CJB9_OFF_2: Collapsed offense type (offense(s) from CJB9) # 2 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0382,"V0382 - CJB9_OFF_3: Collapsed offense type (offense(s) from CJB9) # 3 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0383,"V0383 - CJB9_OFF_4: Collapsed offense type (offense(s) from CJB9) # 4 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0384,"V0384 - CJB9_OFF_5: Collapsed offense type (offense(s) from CJB9) # 5 - Probation violators, new offenses, unsentenced (CAPI variable)CJB9. For what new offenses were you arrested or charged? (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT
FOUND IN THE TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0385,"V0385 - CJB10a: Month arrested or charged with CJB9 offense - Probation violators, new offenses, unsentenced (suppressed)CJB10a. In what month and year were you arrested or charged with [CJB9_THIS_OFFENSE_FILL]?  2-DIGIT MONTH:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0386,"V0386 - CJB10b: Year arrested or charged with CJB9 offense - Probation violators, new offenses, unsentencedCJB10b. In what month and year were you arrested or charged with [CJB9_THIS_OFFENSE_FILL]?  4-DIGIT YEAR:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0387,"V0387 - CJB11a: Date admitted to prison after probation (mo) (suppressed)CJB11a. On what date were you admitted to prison after being on probation?  2-DIGIT MONTH:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0388,"V0388 - CJB11b: Date admitted to prison after probation (day) (suppressed)CJB11b. On what date were you admitted to prison after being on probation?  2-DIGIT DAY:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0389,"V0389 - CJB11c: Date admitted to prison after probation (yr)CJB11c. On what date were you admitted to prison after being on probation?  4-DIGIT YEAR:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0390,"V0390 - CJ27: Jail time after arrest/before prisonCJ27. Altogether, how long did you spend in jail after you were arrested [DATE_ARREST] and before being admitted to prison
[DATE_ADMIT]?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0391,"V0391 - CJ27a: Yrs in jail after arrest/before prisonCJ27a. Altogether, how long did you spend in jail after you were arrested [DATE_ARREST] and before being admitted to prison
[DATE_ADMIT]?  YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0392,"V0392 - CJ27b: Mos in jail after arrest/before prisonCJ27b. Altogether, how long did you spend in jail after you were arrested [DATE_ARREST] and before being admitted to prison
[DATE_ADMIT]?  MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0393,"V0393 - CJ27c: Wks in jail after arrest/before prisonCJ27c. Altogether, how long did you spend in jail after you were arrested [DATE_ARREST] and before being admitted to prison
[DATE_ADMIT]?  WEEKS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0394,"V0394 - CJ27d: Days in jail after arrest/before prisonCJ27d. Altogether, how long did you spend in jail after you were arrested [DATE_ARREST] and before being admitted to prison
[DATE_ADMIT]?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0395,"V0395 - CJC1: Jail time applied to prison sentenceCJC1. How much jail time was applied to your prison sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0396,"V0396 - CJC1a: Yrs of jail time applied to prison sentenceCJC1a. How much jail time was applied to your prison sentence? Years:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0397,"V0397 - CJC1b: Mos of jail time applied to prison sentenceCJC1b. How much jail time was applied to your prison sentence? Months:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0398,"V0398 - CJC1c: Wks of jail time applied to prison sentenceCJC1c. How much jail time was applied to your prison sentence? Weeks:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0399,"V0399 - CJC1d: Days of jail time applied to prison sentenceCJC1d. How much jail time was applied to your prison sentence? Days:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0400,"V0400 - CJC2: Is the prison sentence single/flat or range/indeterminate in length?CJC2. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (DID THE INMATE
GIVE A SINGLE/FLAT SENTENCE OR A RANGE OF TIME?)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0401,"V0401 - CJC3a: What type of single/flat sentence for CJC2CJC3a. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (RECORD
SINGLE/FLAT SENTENCE)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0402,"V0402 - CJC3a1: Years sentenced to prisonCJC3a1. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0403,"V0403 - CJC3a2: Months sentenced to prisonCJC3a2. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0404,"V0404 - CJC3a3: Days sentenced to prisonCJC3a3. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0405,"V0405 - CJC3b1_min: Minimum # of yrs sentenced to prisonCJC3b1. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (RECORD RANGE
OF TIME OR INDETERMINATE SENTENCE). YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0406,"V0406 - CJC3b1_max: Maximum # of yrs sentenced to prisonCJC3b1. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (RECORD RANGE
OF TIME OR INDETERMINATE SENTENCE). YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0407,"V0407 - CJC3b2_min: Minimum # of months sentenced to prisonCJC3b2. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (RECORD RANGE
OF TIME OR INDETERMINATE SENTENCE). MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0408,"V0408 - CJC3b2_max: Maximum # of months sentenced to prisonCJC3b2. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (RECORD RANGE
OF TIME OR INDETERMINATE SENTENCE). MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0409,"V0409 - CJC3b3_min: Minimum # of days sentenced to prisonCJC3b3. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (RECORD RANGE
OF TIME OR INDETERMINATE SENTENCE). DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0410,"V0410 - CJC3b3_max: Maximum # of days sentenced to prisonCJC3b3. How long is your sentence to prison for [OFFENSE_SINGLE]? Include any time suspended by a judge or court. (RECORD RANGE
OF TIME OR INDETERMINATE SENTENCE). DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0411,"V0411 - CJC4: Was the total max sentence length for all consecutive sentences single/flat or range/indeterminate?CJC4. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time.Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0412,"V0412 - CJC5a: What type of single/flat sentence for CJC4CJC5a. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. (RECORD SINGLE/FLAT SENTENCE)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0413,"V0413 - CJC5a1: Max sentence # of yearsCJC5a1. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0414,"V0414 - CJC5a2: Max sentence # of monthsCJC5a2. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0415,"V0415 - CJC5a3: Max sentence # of daysCJC5a3. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0416,"V0416 - CJC5b: Range of time/indeterminate sentenceTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0417,"V0417 - CJC5b1_min: Max sentence minimum # of yrsCJC5b1. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. (RECORD RANGE OF TIME OR INDETERMINATE SENTENCE)  YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0418,"V0418 - CJC5b1_max: Max sentence maximum # of yrsCJC5b1. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. (RECORD RANGE OF TIME OR INDETERMINATE SENTENCE)  YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0419,"V0419 - CJC5b2_min: Max sentence minimum # of mosCJC5b2. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. (RECORD RANGE OF TIME OR INDETERMINATE SENTENCE)  MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0420,"V0420 - CJC5b2_max: Max sentence maximum # of mosCJC5b2. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. (RECORD RANGE OF TIME OR INDETERMINATE SENTENCE)  MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0421,"V0421 - CJC5b3_min: Max sentence minimum # of daysCJC5b3. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. (RECORD RANGE OF TIME OR INDETERMINATE SENTENCE)  DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0422,"V0422 - CJC5b3_max: Max sentence maximum # of daysCJC5b3. What is the total maximum sentence length to prison for ALL the consecutive sentences you are serving? [OFFENSES_MULTI]?
Include any suspended time. (RECORD RANGE OF TIME OR INDETERMINATE SENTENCE)  DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0423,"V0423 - CJC6: Total sentence ever suspendedCJC6. When you were sentenced, was any part of your total sentence suspended by a judge or court?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0424,"V0424 - CJC7: How much of sentence was suspendedCJC7. By how much was your sentence suspended by a judge or court?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0425,"V0425 - CJC7a: # of yrs suspendedCJC7a. By how much was your sentence suspended by a judge or court?  YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0426,"V0426 - CJC7b: # of months suspendedCJC7b. By how much was your sentence suspended by a judge or court?  MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0427,"V0427 - CJC7c: # of days suspendedCJC7c. By how much was your sentence suspended by a judge or court?  DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0428,"V0428 - CJC8_1: Specify which offense received longest sentence-First OffenseCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0429,"V0429 - CJC8_2: Specify which offense received longest sentence-Second OffenseCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0430,"V0430 - CJC8_3: Specify which offense received longest sentence-Third OffenseCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0431,"V0431 - CJC8_4: Specify which offense received longest sentence-Fourth OffenseCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0432,"V0432 - CJC8_5: Specify which offense received longest sentence-Fifth OffenseCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0433,"V0433 - CJC8_6: Specify which offense received longest sentence-Only received one sentence for all offensesCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0434,"V0434 - CJC8_7: Specify which offense received longest sentence-All sentences are the same lengthCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0435,"V0435 - CJC8_8: Specify which offense received longest sentence-DK/RFCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0436,"V0436 - CJC8_9: Specify which offense received longest sentence- Item FlagCJC8. Of the [OFFENSES_MULTI], for which offense did you receive the longest sentence?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0437,"V0437 - CJC9: Was the sentence for (offense_multi) single/flat or range/indeterminate in length?CJC9. How long was the sentence for [OFFENSES_MULTI]? Include any suspended time.Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0438,"V0438 - CJC9a: Was the sentence for (offense_multi2) single/flat or range/indeterminate in length?CJC9a. How long was the sentence for [OFFENSES_MULTI2]? Include any suspended time.Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0439,"V0439 - CJC10a: What type of single/flat sentence for CJC9a?CJC10a. How long was the sentence for [OFFENSES_MULTI]? Include any suspended time. (RECORD SINGLE/FLAT SENTENCE)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
